usnews_cs_rank,school,location,city,state,tie,source,source_file
151,University of Louisville,"Louisville, KY",Louisville,KY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,University of Maine,"Orono, ME",Orono,ME,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,University of Memphis,"Memphis, TN",Memphis,TN,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,University of Michigan--Dearborn,"Dearborn, MI",Dearborn,MI,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,University of Mississippi,MS,,MS,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,University of Nebraska--Omaha,NE,,NE,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
151,University of Wyoming,"Laramie, WY",Laramie,WY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
169,Embry-Riddle Aeronautical University -- Daytona Beach,"Daytona Beach, FL",Daytona Beach,FL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
169,Kent State University,"Kent, OH",Kent,OH,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
169,Marquette University,WI,,WI,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
169,Montana State University,MT,,MT,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
169,Texas State University,"San Marcos, TX",San Marcos,TX,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
169,University of Alabama--Huntsville,"Huntsville, AL",Huntsville,AL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
169,University of Missouri--Kansas City,"Kansas City, MO",Kansas City,MO,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
169,University of Nevada--Reno,NV,,NV,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
169,University of Tulsa,"Tulsa, OK",Tulsa,OK,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
169,Wichita State University,"Wichita, KS",Wichita,KS,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
169,Wright State University,OH,,OH,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
180,Claremont Graduate University,CA,,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
180,Dakota State University,"Madison, SD",Madison,SD,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
180,New Mexico Institute of Mining and Technology,"Socorro, NM",Socorro,NM,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
180,North Carolina A&T State University,NC,,NC,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
180,North Dakota State University,"Fargo, ND",Fargo,ND,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
180,Southern Illinois University--Carbondale,"Carbondale, IL, IL",Carbondale,"IL, IL",True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
180,University of Arkansas--Little Rock,AR,,AR,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
180,University of Colorado--Denver,"Denver, CO",Denver,CO,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
180,University of Denver,"Denver, CO",Denver,CO,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
180,University of Puerto Rico--Mayaguez,PR,,PR,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
190,Clarkson University,NY,,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
190,Northern Arizona University,"Flagstaff, AZ",Flagstaff,AZ,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
190,Oakland University,"Rochester, MI",Rochester,MI,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
190,Tennessee Technological University,"Cookeville, TN",Cookeville,TN,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
190,University of New Orleans,"New Orleans, LA",New Orleans,LA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
195,Nova Southeastern University,"Fort Lauderdale, FL",Fort Lauderdale,FL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
195,Pace University,"New York, NY",New York,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
195,University of Southern Mississippi,MS,,MS,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
198,Bowie State University,"Bowie, MD",Bowie,MD,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
198,Chapman University,CA,,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
198,The Catholic University of America,"Washington, DC",Washington,DC,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
