usnews_cs_rank,school,location,city,state,tie,official_url,cs_department_url,cs_jobs_url,faculty_jobs_url,careers_url,source,source_url,source_file,notes
56,Tufts University,"Medford, MA",Medford,MA,true,https://tufts.edu/,https://tufts.edu/academics,https://jobs.tufts.edu/,,https://jobs.tufts.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
56,University of Notre Dame,IN,,IN,true,https://www.nd.edu/,https://recsports.nd.edu/,,,https://hr.nd.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
59,Iowa State University,"Ames, IA",Ames,IA,true,https://www.iastate.edu/,https://www.iastate.edu/academics,,https://facultystaff.info.iastate.edu,https://www.jobs.iastate.edu,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
59,University of Arizona,"Tucson, AZ",Tucson,AZ,true,https://www.arizona.edu/,https://www.arizona.edu/athletics-recreation,https://talent.arizona.edu/,,https://talent.arizona.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
59,University of California--Riverside,CA,,CA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
59,University of Illinois Chicago,IL,,IL,true,https://www.uic.edu/,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
59,University of Rochester,"Rochester, NY",Rochester,NY,true,https://www.rochester.edu/,https://www.rochester.edu/academics,https://www.rochester.edu/working,https://www.rochester.edu/academics,https://www.rochester.edu/working,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
59,University of Texas--Dallas,"Richardson, TX",Richardson,TX,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
65,George Mason University,"Fairfax, VA",Fairfax,VA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
65,Toyota Technological Institute at Chicago,IL,,IL,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
